image slide: 0x4b7c000
root-orbit-split: board is σ-symmetric; searching one representative per σ-orbit of the root's children
cWD: mmapping data/cwd_mm.bin…
cwd-lm2: mmapping data/cwd_lm_mm.bin…
cWD ready: fast single-line-max table path, neighbor-prune ON
flat engine: iterative arena, move-pruning DFA 41396 states, 687 KiB
parallel: tree-splitting driver on 8 rayon workers (RAYON_NUM_THREADS to change)
[13:12:20.052 UTC] search: start  (setup 1.44s)
    lm2joint[live]: consults 2950634 (+179836), misses 131704 (+1851), keys 131673, prunes 171495, fallbacks 18428
    lm2joint[live]: consults 3086009 (+135375), misses 133540 (+1836), keys 133503, prunes 179255, fallbacks 18691
    lm2joint[live]: consults 3212569 (+126560), misses 135585 (+2045), keys 135548, prunes 185519, fallbacks 18916
    lm2joint[live]: consults 3322909 (+110340), misses 137773 (+2188), keys 137736, prunes 192019, fallbacks 19182
    lm2joint[live]: consults 3471489 (+148580), misses 139623 (+1850), keys 139585, prunes 200450, fallbacks 19476
    lm2joint[live]: consults 3592772 (+121283), misses 141309 (+1686), keys 141271, prunes 208622, fallbacks 19770
    lm2joint[live]: consults 3661003 (+68231), misses 142771 (+1462), keys 142727, prunes 211538, fallbacks 20080
    lm2joint[live]: consults 3833649 (+172646), misses 144728 (+1957), keys 144678, prunes 218219, fallbacks 20329
    lm2joint[live]: consults 3920574 (+86925), misses 146112 (+1384), keys 146062, prunes 221394, fallbacks 20628
    lm2joint[live]: consults 3991871 (+71297), misses 147520 (+1408), keys 147470, prunes 225085, fallbacks 20936
    lm2joint[live]: consults 4113082 (+121211), misses 149368 (+1848), keys 149318, prunes 231328, fallbacks 21203
    lm2joint[live]: consults 4241512 (+128430), misses 151132 (+1764), keys 151073, prunes 237507, fallbacks 21413
    lm2joint[live]: consults 4440722 (+199210), misses 153403 (+2271), keys 153344, prunes 246569, fallbacks 21657
    lm2joint[live]: consults 4572832 (+132110), misses 155289 (+1886), keys 155193, prunes 256478, fallbacks 21948
    lm2joint[live]: consults 4939102 (+366270), misses 157428 (+2139), keys 157303, prunes 277601, fallbacks 22188
    lm2joint[live]: consults 5115795 (+176693), misses 159111 (+1683), keys 158979, prunes 286587, fallbacks 22480
    lm2joint[live]: consults 5296414 (+180619), misses 160775 (+1664), keys 160643, prunes 297316, fallbacks 22733
    lm2joint[live]: consults 5541286 (+244872), misses 162553 (+1778), keys 162421, prunes 312479, fallbacks 22938
    lm2joint[live]: consults 5831528 (+290242), misses 164487 (+1934), keys 164354, prunes 331013, fallbacks 23168
    lm2joint[live]: consults 6074694 (+243166), misses 166727 (+2240), keys 166594, prunes 347126, fallbacks 23383
    lm2joint[live]: consults 6581558 (+506864), misses 168502 (+1775), keys 168369, prunes 374721, fallbacks 23646
    lm2joint[live]: consults 6854496 (+272938), misses 170469 (+1967), keys 170336, prunes 391100, fallbacks 23914
    lm2joint[live]: consults 6969895 (+115399), misses 172115 (+1646), keys 171982, prunes 397702, fallbacks 24190
    lm2joint[live]: consults 7312117 (+342222), misses 173845 (+1730), keys 173711, prunes 415689, fallbacks 24472
    lm2joint[live]: consults 7535632 (+223515), misses 175558 (+1713), keys 175424, prunes 428143, fallbacks 24750
    lm2joint[live]: consults 7730769 (+195137), misses 176947 (+1389), keys 176813, prunes 438844, fallbacks 25055
    lm2joint[live]: consults 7908735 (+177966), misses 178312 (+1365), keys 178178, prunes 447142, fallbacks 25336
    lm2joint[live]: consults 8261267 (+352532), misses 180034 (+1722), keys 179900, prunes 462363, fallbacks 25602
    lm2joint[live]: consults 8541705 (+280438), misses 181771 (+1737), keys 181637, prunes 477165, fallbacks 25888
    lm2joint[live]: consults 8826239 (+284534), misses 183366 (+1595), keys 183232, prunes 489231, fallbacks 26186
    lm2joint[live]: consults 8983471 (+157232), misses 185152 (+1786), keys 185018, prunes 495197, fallbacks 26481
    lm2joint[live]: consults 9222107 (+238636), misses 187054 (+1902), keys 186919, prunes 505234, fallbacks 26756
    lm2joint[live]: consults 9402923 (+180816), misses 189115 (+2061), keys 188980, prunes 513427, fallbacks 27035
    lm2joint[live]: consults 9564388 (+161465), misses 191294 (+2179), keys 191159, prunes 520505, fallbacks 27266
    lm2joint[live]: consults 9766089 (+201701), misses 193274 (+1980), keys 193137, prunes 529768, fallbacks 27493
    lm2joint[live]: consults 9974938 (+208849), misses 195105 (+1831), keys 194968, prunes 538723, fallbacks 27739
    lm2joint[live]: consults 10189269 (+214331), misses 196743 (+1638), keys 196603, prunes 549158, fallbacks 28011
    lm2joint[live]: consults 10425214 (+235945), misses 198578 (+1835), keys 198438, prunes 557722, fallbacks 28269
    lm2joint[live]: consults 10590695 (+165481), misses 200302 (+1724), keys 200162, prunes 567078, fallbacks 28546
    lm2joint[live]: consults 10742650 (+151955), misses 201883 (+1581), keys 201743, prunes 573985, fallbacks 28803
    lm2joint[live]: consults 10924103 (+181453), misses 203394 (+1511), keys 203254, prunes 583020, fallbacks 29082
    lm2joint[live]: consults 11321351 (+397248), misses 205414 (+2020), keys 205274, prunes 599920, fallbacks 29348
    lm2joint[live]: consults 11599579 (+278228), misses 207226 (+1812), keys 207086, prunes 612200, fallbacks 29624
    lm2joint[live]: consults 11853606 (+254027), misses 209087 (+1861), keys 208947, prunes 624033, fallbacks 29880
    lm2joint[live]: consults 12082065 (+228459), misses 210973 (+1886), keys 210833, prunes 635664, fallbacks 30112
    lm2joint[live]: consults 12314427 (+232362), misses 212598 (+1625), keys 212458, prunes 648141, fallbacks 30345
    lm2joint[live]: consults 12862308 (+547881), misses 214384 (+1786), keys 214244, prunes 672574, fallbacks 30600
    lm2joint[live]: consults 13139923 (+277615), misses 216013 (+1629), keys 215872, prunes 685454, fallbacks 30809
    lm2joint[live]: consults 13528237 (+388314), misses 218133 (+2120), keys 217992, prunes 703201, fallbacks 31034
    lm2joint[live]: consults 13748531 (+220294), misses 220477 (+2344), keys 220336, prunes 714582, fallbacks 31216
    lm2joint[live]: consults 13918366 (+169835), misses 222353 (+1876), keys 222210, prunes 721468, fallbacks 31444
    lm2joint[live]: consults 14083288 (+164922), misses 224220 (+1867), keys 224076, prunes 731074, fallbacks 31681
    lm2joint[live]: consults 14205973 (+122685), misses 225642 (+1422), keys 225498, prunes 738256, fallbacks 31981
    lm2joint[live]: consults 14415499 (+209526), misses 227291 (+1649), keys 227145, prunes 749152, fallbacks 32251
    lm2joint[live]: consults 14511389 (+95890), misses 228709 (+1418), keys 228563, prunes 754435, fallbacks 32535
    lm2joint[live]: consults 14611576 (+100187), misses 230232 (+1523), keys 230086, prunes 760782, fallbacks 32781
    lm2joint[live]: consults 14847649 (+236073), misses 231995 (+1763), keys 231849, prunes 775430, fallbacks 33022
    lm2joint[live]: consults 15070097 (+222448), misses 233454 (+1459), keys 233308, prunes 792027, fallbacks 33312
    lm2joint[live]: consults 15231915 (+161818), misses 235421 (+1967), keys 235274, prunes 804499, fallbacks 33547
    lm2joint[live]: consults 15491046 (+259131), misses 237389 (+1968), keys 237242, prunes 821034, fallbacks 33791
    lm2joint[live]: consults 15715086 (+224040), misses 239031 (+1642), keys 238884, prunes 830996, fallbacks 34038
    lm2joint[live]: consults 15845588 (+130502), misses 240278 (+1247), keys 240131, prunes 836585, fallbacks 34303
    lm2joint[live]: consults 16237040 (+391452), misses 242128 (+1850), keys 241981, prunes 850083, fallbacks 34573
    lm2joint[live]: consults 16508610 (+271570), misses 243758 (+1630), keys 243611, prunes 864567, fallbacks 34801
    lm2joint[live]: consults 16684544 (+175934), misses 245467 (+1709), keys 245320, prunes 875022, fallbacks 35070
    lm2joint[live]: consults 16924012 (+239468), misses 247091 (+1624), keys 246944, prunes 885378, fallbacks 35317
    lm2joint[live]: consults 17247153 (+323141), misses 248600 (+1509), keys 248453, prunes 904208, fallbacks 35579
    lm2joint[live]: consults 17538966 (+291813), misses 249962 (+1362), keys 249815, prunes 920645, fallbacks 35872
    lm2joint[live]: consults 17788630 (+249664), misses 251269 (+1307), keys 251122, prunes 936901, fallbacks 36131
    lm2joint[live]: consults 17970833 (+182203), misses 252841 (+1572), keys 252694, prunes 947525, fallbacks 36345
    lm2joint[live]: consults 18215300 (+244467), misses 254448 (+1607), keys 254299, prunes 963624, fallbacks 36574
    lm2joint[live]: consults 18514707 (+299407), misses 255929 (+1481), keys 255780, prunes 980476, fallbacks 36791
    lm2joint[live]: consults 18928847 (+414140), misses 257592 (+1663), keys 257442, prunes 1003169, fallbacks 37028
    lm2joint[live]: consults 19183830 (+254983), misses 259104 (+1512), keys 258954, prunes 1018277, fallbacks 37274
    lm2joint[live]: consults 19436703 (+252873), misses 260563 (+1459), keys 260413, prunes 1033507, fallbacks 37482
    lm2joint[live]: consults 19782347 (+345644), misses 262151 (+1588), keys 262001, prunes 1051272, fallbacks 37680
    lm2joint[live]: consults 20189259 (+406912), misses 263884 (+1733), keys 263734, prunes 1071529, fallbacks 37931
    lm2joint[live]: consults 20644749 (+455490), misses 265309 (+1425), keys 265159, prunes 1097374, fallbacks 38184
    lm2joint[live]: consults 21161762 (+517013), misses 267053 (+1744), keys 266903, prunes 1126311, fallbacks 38419
    lm2joint[live]: consults 21790369 (+628607), misses 268805 (+1752), keys 268655, prunes 1164108, fallbacks 38648
    lm2joint[live]: consults 22084299 (+293930), misses 270449 (+1644), keys 270299, prunes 1180158, fallbacks 38893
    lm2joint[live]: consults 22393113 (+308814), misses 272394 (+1945), keys 272244, prunes 1201310, fallbacks 39139
    lm2joint[live]: consults 22826646 (+433533), misses 274172 (+1778), keys 274021, prunes 1227298, fallbacks 39373
    lm2joint[live]: consults 23228775 (+402129), misses 275977 (+1805), keys 275825, prunes 1250150, fallbacks 39607
    lm2joint[live]: consults 23433662 (+204887), misses 277357 (+1380), keys 277205, prunes 1260879, fallbacks 39881
    lm2joint[live]: consults 23655717 (+222055), misses 278720 (+1363), keys 278568, prunes 1273139, fallbacks 40149
    lm2joint[live]: consults 23998209 (+342492), misses 280133 (+1413), keys 279981, prunes 1290494, fallbacks 40409
    lm2joint[live]: consults 24475097 (+476888), misses 281874 (+1741), keys 281722, prunes 1315708, fallbacks 40604
    lm2joint[live]: consults 24834284 (+359187), misses 283155 (+1281), keys 283003, prunes 1341536, fallbacks 40872
    lm2joint[live]: consults 25027576 (+193292), misses 284590 (+1435), keys 284438, prunes 1352933, fallbacks 41132
    lm2joint[live]: consults 25363953 (+336377), misses 286055 (+1465), keys 285903, prunes 1374875, fallbacks 41390
    lm2joint[live]: consults 25651610 (+287657), misses 287840 (+1785), keys 287688, prunes 1392246, fallbacks 41636
    lm2joint[live]: consults 26019320 (+367710), misses 289525 (+1685), keys 289371, prunes 1409807, fallbacks 41858
    lm2joint[live]: consults 26403176 (+383856), misses 291285 (+1760), keys 291131, prunes 1432680, fallbacks 42103
    lm2joint[live]: consults 26822242 (+419066), misses 293131 (+1846), keys 292977, prunes 1460897, fallbacks 42365
    lm2joint[live]: consults 27134935 (+312693), misses 294738 (+1607), keys 294584, prunes 1478845, fallbacks 42644
    lm2joint[live]: consults 27581672 (+446737), misses 296663 (+1925), keys 296509, prunes 1502632, fallbacks 42914
    lm2joint[live]: consults 27845422 (+263750), misses 298197 (+1534), keys 298043, prunes 1516379, fallbacks 43224
