image slide: 0x429c000
root-orbit-split: board is σ-symmetric; searching one representative per σ-orbit of the root's children
cWD: mmapping data/cwd_mm.bin…
cwd-lm2: mmapping data/cwd_lm_mm.bin…
cWD ready: fast single-line-max table path, neighbor-prune ON
flat engine: iterative arena, move-pruning DFA 41396 states, 687 KiB
parallel: tree-splitting driver on 8 rayon workers (RAYON_NUM_THREADS to change)
[23:25:49.251 UTC] search: start  (setup 9.00s)
    lm2joint[live]: consults 105202216 (+2668732), misses 1930273 (+30777), keys 2276096, prunes 6524941, fallbacks 0
    lm2joint[live]: consults 109558613 (+4356397), misses 1961440 (+31167), keys 2307263, prunes 6899369, fallbacks 0
    lm2joint[live]: consults 113254983 (+3696370), misses 1987153 (+25713), keys 2332978, prunes 7289661, fallbacks 0
    lm2joint[live]: consults 115487089 (+2232106), misses 2014431 (+27278), keys 2360255, prunes 7497794, fallbacks 0
    lm2joint[live]: consults 117032031 (+1544942), misses 2030410 (+15979), keys 2376233, prunes 7650766, fallbacks 0
    lm2joint[live]: consults 118374039 (+1342008), misses 2046554 (+16144), keys 2392376, prunes 7749572, fallbacks 0
    lm2joint[live]: consults 120969366 (+2595327), misses 2066400 (+19846), keys 2412222, prunes 7948737, fallbacks 0
    lm2joint[live]: consults 123014440 (+2045074), misses 2087553 (+21153), keys 2433375, prunes 8145575, fallbacks 0
    lm2joint[live]: consults 124953963 (+1939523), misses 2106204 (+18651), keys 2452026, prunes 8310598, fallbacks 0
    lm2joint[live]: consults 126920146 (+1966183), misses 2125597 (+19393), keys 2471419, prunes 8511897, fallbacks 0
    lm2joint[live]: consults 129062217 (+2142071), misses 2145754 (+20157), keys 2491577, prunes 8730563, fallbacks 0
    lm2joint[live]: consults 133072015 (+4009798), misses 2176841 (+31087), keys 2522663, prunes 9087887, fallbacks 0
    lm2joint[live]: consults 135780205 (+2708190), misses 2213373 (+36532), keys 2559195, prunes 9277909, fallbacks 0
    lm2joint[live]: consults 140031639 (+4251434), misses 2242706 (+29333), keys 2588528, prunes 9689791, fallbacks 0
    lm2joint[live]: consults 146042536 (+6010897), misses 2279778 (+37072), keys 2625600, prunes 10177595, fallbacks 0
    lm2joint[live]: consults 149305606 (+3263070), misses 2305936 (+26158), keys 2651761, prunes 10459906, fallbacks 0
    lm2joint[live]: consults 153548430 (+4242824), misses 2328020 (+22084), keys 2673843, prunes 10877775, fallbacks 0
    lm2joint[live]: consults 157958771 (+4410341), misses 2355495 (+27475), keys 2701317, prunes 11291017, fallbacks 0
    lm2joint[live]: consults 161947335 (+3988564), misses 2383159 (+27664), keys 2728981, prunes 11777604, fallbacks 0
    lm2joint[live]: consults 167505862 (+5558527), misses 2414191 (+31032), keys 2760015, prunes 12202768, fallbacks 0
    lm2joint[live]: consults 173465663 (+5959801), misses 2445193 (+31002), keys 2791015, prunes 12724290, fallbacks 0
    lm2joint[live]: consults 178890333 (+5424670), misses 2474403 (+29210), keys 2820224, prunes 13238624, fallbacks 0
    lm2joint[live]: consults 185384705 (+6494372), misses 2507402 (+32999), keys 2853223, prunes 13763353, fallbacks 0
    lm2joint[live]: consults 191238928 (+5854223), misses 2541535 (+34133), keys 2887357, prunes 14284231, fallbacks 0
    lm2joint[live]: consults 197368123 (+6129195), misses 2574196 (+32661), keys 2920017, prunes 14855537, fallbacks 0
    lm2joint[live]: consults 205894544 (+8526421), misses 2607992 (+33796), keys 2953814, prunes 15693598, fallbacks 0
    lm2joint[live]: consults 215761178 (+9866634), misses 2636596 (+28604), keys 2982418, prunes 16535032, fallbacks 0
    lm2joint[live]: consults 222021647 (+6260469), misses 2667816 (+31220), keys 3013636, prunes 17244268, fallbacks 0
    lm2joint[live]: consults 229185796 (+7164149), misses 2704611 (+36795), keys 3050432, prunes 17980114, fallbacks 0
    lm2joint[live]: consults 236666839 (+7481043), misses 2736675 (+32064), keys 3082495, prunes 18702607, fallbacks 0
    lm2joint[live]: consults 244917281 (+8250442), misses 2767579 (+30904), keys 3113400, prunes 19551232, fallbacks 0
    lm2joint[live]: consults 255935214 (+11017933), misses 2803640 (+36061), keys 3149460, prunes 20452785, fallbacks 0
    lm2joint[live]: consults 264437296 (+8502082), misses 2838669 (+35029), keys 3184489, prunes 21118096, fallbacks 0
    lm2joint[live]: consults 270970439 (+6533143), misses 2869122 (+30453), keys 3214942, prunes 21665209, fallbacks 0
    lm2joint[live]: consults 277915863 (+6945424), misses 2899777 (+30655), keys 3245596, prunes 22231456, fallbacks 0
    lm2joint[live]: consults 284551789 (+6635926), misses 2925752 (+25975), keys 3271571, prunes 22748866, fallbacks 0
    lm2joint[live]: consults 290476301 (+5924512), misses 2951967 (+26215), keys 3297786, prunes 23339157, fallbacks 0
    lm2joint[live]: consults 296838411 (+6362110), misses 2979080 (+27113), keys 3324900, prunes 23975704, fallbacks 0
    lm2joint[live]: consults 301163382 (+4324971), misses 3000280 (+21200), keys 3346099, prunes 24259667, fallbacks 0
    lm2joint[live]: consults 306438027 (+5274645), misses 3022947 (+22667), keys 3368766, prunes 24722933, fallbacks 0
    lm2joint[live]: consults 314319515 (+7881488), misses 3046589 (+23642), keys 3392408, prunes 25387920, fallbacks 0
    lm2joint[live]: consults 320339763 (+6020248), misses 3069001 (+22412), keys 3414819, prunes 25921206, fallbacks 0
    lm2joint[live]: consults 326548009 (+6208246), misses 3093331 (+24330), keys 3439148, prunes 26385488, fallbacks 0
    lm2joint[live]: consults 336573461 (+10025452), misses 3127555 (+34224), keys 3473374, prunes 27229316, fallbacks 0
    lm2joint[live]: consults 350561570 (+13988109), misses 3165675 (+38120), keys 3511493, prunes 28155433, fallbacks 0
