board	seed	len	d	v	h	wd_r	wd_c	cwd	slack	fv	fc	rt_v	rt_c	rt_home	rt_far	rt_blank	dem_tot	rtb_v	rtb_c	ph	sec
93	9115556880960810149	90	64	38	26	28	22	52	12	28	22	5	2	5	2	31	1	0,2,1,2	0,0,0,2	5,6,3	0.25
94	2069527626574457019	90	48	24	24	16	16	34	14	16	16	4	4	8	0	21	1	0,2,1,1	1,2,1,0	4,5,7	0.15
95	13470242445897655503	90	62	37	25	25	23	52	10	25	23	6	1	5	2	30	2	1,2,1,2	1,0,0,0	5,5,4	0.66
96	6424213191511302373	90	62	30	32	24	22	48	14	24	22	3	5	8	0	29	1	2,1,0,0	1,1,2,1	6,4,6	4.74
97	17824928010834500857	90	64	37	27	29	21	52	12	29	21	4	3	5	2	30	1	0,2,1,1	2,1,0,0	6,3,5	0.41
98	10778898756448147727	90	62	28	34	18	26	46	16	18	26	5	4	8	1	27	1	0,2,2,1	1,0,2,1	4,5,9	7.76
99	3732869502061794595	90	48	26	22	20	16	38	10	20	16	3	3	6	0	20	1	0,1,1,1	1,0,2,0	4,4,4	0.05
100	15133584321384993081	90	62	30	32	20	22	46	16	20	22	5	5	9	1	29	3	2,0,1,2	1,0,2,2	6,8,6	2.92
101	8087555066998639949	90	58	32	26	22	22	46	12	22	20	5	3	7	1	29	1	0,0,3,2	1,0,1,1	7,2,7	0.06
102	1041525812612286819	90	56	26	30	22	24	46	10	22	24	2	3	5	0	27	0	0,0,1,1	0,1,1,1	1,4,5	0.01
103	12442240631935485303	90	60	29	31	21	23	46	14	19	23	5	4	9	0	28	1	1,1,2,1	1,2,0,1	8,4,6	1.80
104	5396211377549132173	90	64	34	30	28	22	52	12	28	20	3	5	8	0	29	1	0,2,1,0	2,2,1,0	4,6,6	7.22
105	16796926196872330657	90	56	27	29	19	21	42	14	15	21	6	4	9	1	26	2	1,1,4,0	2,1,1,0	9,4,7	1.67
106	9750896942485977527	90	76	40	36	28	32	60	16	28	32	6	2	5	3	36	0	1,2,3,0	1,0,0,1	3,5,8	10.53
107	2704867688099624395	90	60	30	30	28	22	50	10	28	22	1	4	5	0	27	0	1,0,0,0	0,1,2,1	3,5,2	0.20
108	14105582507422822881	90	58	29	29	23	17	42	16	23	15	3	7	9	1	28	2	0,2,1,0	0,5,2,0	6,7,7	6.05
109	7059553253036469749	90	50	21	29	21	27	48	2	21	27	0	1	1	0	24	0	0,0,0,0	0,1,0,0	1,0,1	0.00
110	13523998650116619	90	68	38	30	26	20	48	20	26	20	6	5	9	2	33	1	2,1,3,0	0,3,1,1	8,6,8	59.84
111	11414238817973315103	90	72	40	32	34	24	60	12	32	22	4	5	8	1	35	2	1,0,2,1	1,1,2,1	6,5,7	6.34
112	4368209563586961973	90	62	31	31	27	21	50	12	27	19	2	6	8	0	30	1	2,0,0,0	0,2,2,2	6,5,5	0.57
113	15768924382910160457	90	62	29	33	19	21	42	20	17	21	6	6	12	0	30	1	1,2,1,2	1,1,2,2	10,4,10	14.13
114	8722895128523807327	90	58	29	29	15	21	40	18	15	21	7	4	10	1	26	2	4,1,1,1	0,1,0,3	9,7,6	1.71
115	1676865874137454195	90	62	34	28	26	22	48	14	26	22	4	3	5	2	28	0	1,0,1,2	2,0,1,0	4,4,6	0.17
116	13077580693460652681	90	68	34	34	22	26	48	20	20	26	7	4	10	1	34	0	1,2,1,3	0,2,1,1	6,5,11	110.77
117	6031551439074299549	90	66	31	35	27	25	54	12	27	23	2	6	7	1	32	1	1,0,1,0	0,4,2,0	4,7,5	1.10
118	17432266258397498035	90	62	35	27	27	19	50	12	27	19	4	4	8	0	28	2	0,1,0,3	1,1,2,0	4,7,5	0.90
119	10386237004011144903	90	58	28	30	16	24	44	14	14	20	7	5	11	1	28	4	0,3,3,1	1,0,2,2	9,6,9	5.73
