board	seed	len	d	cwd	slack	md	dem_tot	dem_ctr_w	dem_row	dem_col	mis_cnt	mis_mass	flow_row	flow_col	blank_r	blank_c	sec
183	13249446426289188633	70	40	30	10	28	0	0	0,0,0,0,0	0,0,0,0,0	17	30	5,5,1,3	1,5,5,3	0	0	0.00
184	6203417171902835501	70	52	34	18	32	2	1	0,0,0,0,0	1,1,0,0,0	19	28	4,7,3,3	2,4,4,5	1	3	1.49
185	17604131991226033987	70	50	34	16	30	2	1	0,0,0,0,0	0,0,0,1,1	18	30	3,5,5,5	4,4,1,3	0	2	0.30
186	10558102736839680855	70	56	38	18	34	1	1	0,0,0,1,0	0,0,0,0,0	21	34	6,4,2,2	6,4,3,7	4	2	14.08
187	3512073482453327725	70	54	42	12	38	2	3	0,0,0,0,0	0,1,1,0,0	19	29	4,5,7,7	6,3,3,3	1	1	0.07
188	14912788301776526209	70	52	46	6	36	3	4	0,0,0,1,0	0,0,1,1,0	18	31	6,2,6,6	2,2,6,6	4	4	0.05
189	7866759047390173079	70	62	46	16	46	0	0	0,0,0,0,0	0,0,0,0,0	18	29	2,7,5,7	6,7,7,5	1	1	2.41
190	820729793003819947	70	58	42	16	40	1	0	1,0,0,0,0	0,0,0,0,0	19	33	3,5,5,5	2,4,9,7	0	2	0.25
191	12221444612327018433	70	44	32	12	28	1	1	0,1,0,0,0	0,0,0,0,0	16	28	4,3,1,5	2,5,3,5	1	1	0.05
192	5175415357940665301	70	58	42	16	34	3	0	0,0,0,0,1	1,0,0,0,1	20	27	6,4,1,5	4,4,7,3	2	2	2.82
193	16576130177263863787	70	58	52	6	50	1	0	1,0,0,0,0	0,0,0,0,0	21	36	2,6,9,7	7,9,7,3	2	0	0.00
194	9530100922877510655	70	54	40	14	36	2	1	0,0,0,0,0	0,0,0,1,1	21	33	6,2,6,6	5,3,5,3	4	0	0.75
195	2484071668491157525	70	46	32	14	30	1	1	0,0,0,0,0	0,1,0,0,0	18	31	0,4,5,5	3,3,5,5	2	0	0.06
196	13884786487814356009	70	54	46	8	44	1	0	0,0,0,0,0	1,0,0,0,0	23	38	6,7,5,5	4,4,8,5	1	3	0.03
197	6838757233428002879	70	48	36	12	32	0	0	0,0,0,0,0	0,0,0,0,0	19	32	4,2,5,7	3,1,7,3	2	0	0.04
198	18239472052751201363	70	54	44	10	42	1	1	0,1,0,0,0	0,0,0,0,0	21	31	4,2,3,5	4,8,11,5	2	2	0.04
199	11193442798364848233	70	38	32	6	30	1	1	0,0,0,0,0	0,1,0,0,0	22	33	6,4,3,5	3,1,5,3	2	0	0.00
